Report,Section,Sub section,Heading,Heading,Domain Agreement,Construct Agreement,WB CFIR domain,WB CFIR construct,Confidence/ Notes,SE CFIR domain,SE CFIR construct,Confidence/ Notes,Consensus Convo,Domain Consensus,Construct Consensus
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Facilitators to Adoption and Use of Help@Hand Technologies,Addressing cost to maintain access to internet or data plan,Agree,Agree,Outer setting,Local conditions,,Outer Setting,Local Conditions,,,Outer setting,Local conditions
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Facilitators to Adoption and Use of Help@Hand Technologies,Addressing cost of services provided by technology,Disagree,Disagree,Outer setting,Local conditions,,Innovation,Innovation Cost,,Wil had Outer setting	Local conditions,Innovation,Innovation Cost
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Facilitators to Adoption and Use of Help@Hand Technologies,Help installing and setting up technology,Agree,Disagree,Implementation process,Tailoring strategies,,Implementation Process,Doing,,SE had doing,Implementation process,Teaming
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Facilitators to Adoption and Use of Help@Hand Technologies,"Continued assistance to use technology (e.g., phone change, hospital stay) as well as understand and interpret data",Agree,Disagree,Implementation process,Tailoring strategies,,Implementation Process,Engaging: Innovation Recipients,,,Implementation process,Teaming
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Facilitators to Adoption and Use of Help@Hand Technologies,Support after technology is discontinued,Agree,Disagree,Implementation process,Tailoring strategies,,Implementation Process,Engaging: Innovation Recipients,,,Implementation process,Teaming
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Facilitators to Adoption and Use of Help@Hand Technologies,Aesthetically pleasing interface,Agree,Agree,Innovation,Design,,Innovation,Design,,,Innovation,Design
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Facilitators to Adoption and Use of Help@Hand Technologies,"Clean, not overwhelming interface",Agree,Agree,Innovation,Design,,Innovation,Design,,,Innovation,Design
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Facilitators to Adoption and Use of Help@Hand Technologies,Easy to navigate interface,Agree,Disagree,Innovation,Complexity,,Innovation,Design,,SE had Design,Innovation,Complexity
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Facilitators to Adoption and Use of Help@Hand Technologies,Ability to quickly access to help information and documentation,Agree,Disagree,Innovation,Complexity,,Innovation,Design,,SE had Design,Innovation,Complexity
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Facilitators to Adoption and Use of Help@Hand Technologies,"Understanding of what user information the technoogy can access, what user data is collected (e.g., location), user data will be used, and who has access to user data",Disagree,Disagree,Implementation process,Planning,,Innovation,Complexity,,SE had Innovation	Complexity; Will had planning,Implementation process,Reflecting and evaluating: Innovation 
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Facilitators to Adoption and Use of Help@Hand Technologies,"Addessing negative feelings or perceptions around using the technology, rooted in stigma around mental health or mental illness",Agree,Agree,Implementation process,Engaging: Innovation recipients,,Implementation Process,Engaging: Innovation Recipients,,,Implementation process,Engaging: Innovation recipients
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Facilitators to Adoption and Use of Help@Hand Technologies,Identifying and blocking of “trolls” quickly,Disagree,Disagree,Implementation process,Tailoring strategies,,Innovation,???,,SE had Innovation	???,Implementation process,Tailoring strategies
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Facilitators to Adoption and Use of Help@Hand Technologies,Alignment of lived experiences of “peer” using the technology with consumers,Disagree,Disagree,Implementation process,Teaming,,Inner Setting,Human Equality-Centeredness,,SE had Inner Setting	Human Equality-Centeredness,Implementation process,Teaming
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Facilitators to Adoption and Use of Help@Hand Technologies,Ensuring consumers feel connected with and understood by healthcare provider,Agree,Agree,Implementation process,Teaming,,Implementation Process,Teaming,,,Implementation process,Teaming
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Better vetting of technology,Agree,Agree,Implementation process,Planning,,Implementation Process,Planning,,,Implementation process,Planning
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Better understanding of target audience,Agree,Agree,Implementation process,Assessing needs: Innovation recipients,,Implementation Process,Assessing Needs: Innovation Recipients,,,Implementation process,Assessing needs: Innovation recipients
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Better matching target audience to technology,Agree,Agree,Implementation process,Planning,,Implementation Process,Planning,,,Implementation process,Planning
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Better vetting of technology,Agree,Agree,Implementation process,Planning,,Implementation Process,Planning,,,Implementation process,Planning
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Better understanding of target audience,Agree,Agree,Implementation process,Planning,,Implementation Process,Planning,,,Implementation process,Planning
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Better matching target audience to technology,Agree,Agree,Implementation process,Planning,,Implementation Process,Planning,,,Implementation process,Planning
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,"Possible County provided resources (e.g., smartphones, internet, etc.)",Agree,Disagree,Inner setting,Available resources (no subconstruct),,Inner Setting,Available Resources: Materials & Equipment,,,Inner setting,Available resources (no subconstruct)
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Better understanding of target audience,Agree,Disagree,Implementation process,Assessing needs: Innovation recipients,,Implementation Process,Tailoring Strategies,,,Implementation process,Assessing needs: Innovation recipients
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Digital literacy training,Agree,Agree,Implementation process,Tailoring strategies,,Implementation Process,Tailoring Strategies,,,Implementation process,Tailoring strategies
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,“On the ground” assistance,Agree,Agree,Inner setting,Structural characteristics: Work infrastructure,,Inner Setting,Structural Characteristics: Work Infrastructure,,,Inner setting,Structural characteristics: Work infrastructure
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Role of Peer support,Agree,Agree,Implementation process,Teaming,,Implementation Process,Teaming,,,Implementation process,Teaming
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Plan for technology discontinuation,Agree,Agree,Implementation process,Planning,,IMplementation Process,Planning,,,Implementation process,Planning
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Better vetting of technology via usability testing,Agree,Agree,Implementation process,Planning,,Implementation Process,Planning,,,Implementation process,Planning
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,User testing before deployment,Agree,Agree,Implementation process,Doing,,Implementation Process,Doing,,,Implementation process,Doing
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Better understanding of target audience,Agree,Agree,Implementation process,Assessing needs: Innovation recipients,,Implementation Process,Assessing Needs: Innovation Recipients,,,Implementation process,Assessing needs: Innovation recipients
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Better matching target audience to technology,Agree,Agree,Implementation process,Planning,,Implementation Process,Planning,,,Implementation process,Planning
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Digital literacy training,Agree,Agree,Implementation process,Tailoring strategies,,Implementation Process,Tailoring Strategies,,,Implementation process,Tailoring strategies
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Better vetting of technology,Agree,Agree,Implementation process,Planning,,Implementation Process,Planning,,,Implementation process,Planning
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Better understanding of target audience,Agree,Agree,Implementation process,Assessing needs: Innovation recipients,,Implementation Process,Assessing Needs: Innovation Recipients,,,Implementation process,Assessing needs: Innovation recipients
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Digital literacy training,Agree,Agree,Implementation process,Tailoring strategies,,Implementation Process,Tailoring Strategies,,,Implementation process,Tailoring strategies
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Better understanding of target audience,Agree,Agree,Implementation process,Assessing needs: Innovation recipients,,IMplementation Process,Assessing Needs: Innovation Recipients,,,Implementation process,Assessing needs: Innovation recipients
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Better matching target audience to technology,Agree,Agree,Implementation process,Planning,,Implementation Process,Planning,,,Implementation process,Planning
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,"Framing and marketing of and around technology, including better communication of technology’s benefits",Agree,Agree,Implementation process,Engaging: Innovation recipients,,Implementation Process,Engaging: Innovation Recipients,,,Implementation process,Engaging: Innovation recipients
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Better vetting of technology,Agree,Agree,Implementation process,Planning,,Implementation Process,Planning,,,Implementation process,Planning
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Governance and policy of malicious behavior,Agree,Agree,Implementation process,Tailoring strategies,,Implementation Process,Tailoring Strategies,,,Implementation process,Tailoring strategies
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Better understanding of target audience,Agree,Agree,Implementation process,Assessing needs: Innovation recipients,,Implementation Process,Assessing Needs: Innovation Recipients,,,Implementation process,Assessing needs: Innovation recipients
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Better matching target audience to technology,Agree,Agree,Implementation process,Planning,,Implementation Process,Planning,,,Implementation process,Planning
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Better understanding of target audience,Agree,Agree,Implementation process,Assessing needs: Innovation recipients,,Implementation Process,Assessing Needs: Innovation Recipients,,,Implementation process,Assessing needs: Innovation recipients
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Foster positive relationships and meaningful connections between providers and consumers,Agree,Agree,Implementation process,Teaming,,Implementation Process,Teaming,,,Implementation process,Teaming
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Solutions for Barriers to Adoption and Use of Help@Hand Technologies,Ensure technology also meets the needs of the provider (see Implementation Core),Agree,Disagree,Implementation process,Assessing needs: Innovation deliverers,,Implementation Process,Assessing Needs: Innovation Recipients,,,Implementation process,Assessing needs: Innovation deliverers
1,User Experience and Technology Evaluation,Key Points,,The user experience and technology evaluation assessed factors supporting adoption and continued use among the target populations.,Agree,Agree,,,I think these are more just reporting things that happened as opposed to learnings or recs,,,,,,
1,User Experience and Technology Evaluation,Key Points,,Expert users assessed usability of 7Cups and Mindstrong to identify potential issues that could affect user adoption and continued use (or abandonment) of the technologies and to provide recommendations for improvement.,Agree,Agree,,,,,,,,,
1,User Experience and Technology Evaluation,Key Points,,"Overall, actual and potential users perceived benefits of mental health technologies in the recovery process, particularly around increasing access to care, facilitating connection, reducing stigma and increasing awareness of symptoms. However, they also revealed a number of barriers and concerns to adoption and continued use of such technologies.",Agree,Agree,,,,,,,,,
1,User Experience and Technology Evaluation,Key Points,,The evaluation team worked with Los Angeles County to plan a baseline assessment (an effort to collect baseline values of key variables and understand the needs of the target population) at a local community college.,Agree,Agree,,,,,,,,,
1,User Experience and Technology Evaluation,Learnings from Heuristic Evaluation and User Evaluation,Community members see the potential value of using mental health technologies,"Both community members who had tried the technologies and those who had not were excited about the potential of mental health technologies in the recovery process, particularly around in creasing access to care, facilitating connection, reducing stigma and increasing awareness of symp toms.",Agree,Agree,Individuals,Innovation recipients,,Individuals,Innovation Recipients,,,Individuals,Innovation recipients
1,User Experience and Technology Evaluation,Learnings from Heuristic Evaluation and User Evaluation,Community members see the potential value of using mental health technologies,"Many saw potential in the Help@Hand tech nologies, including timely support and care on demand, improved connection with peers and providers, personalized and empathetic support, opportunities for reflection facilitated by personal data and useful mental health information.",Agree,Disagree,Innovation,Relative advantage,,Innovation,???,,SE didn't have construct,Innovation,Relative advantage
1,User Experience and Technology Evaluation,Learnings from Heuristic Evaluation and User Evaluation,Community members also revealed barriers to adoption and continued use of mental health technologies,"Community members identified a number of barriers, including lack of access to smartphones, poor Internet access, related financial costs, in sufficient resource requirements, limited support needed to use the technologies and inappropriate or malicious behavior, particularly among tech nologies that utilize support from others.",Agree,Agree,Outer setting,Local conditions,,Outer Setting,Local Conditions,,,Outer setting,Local conditions
1,User Experience and Technology Evaluation,Learnings from Heuristic Evaluation and User Evaluation,Community members also revealed barriers to adoption and continued use of mental health technologies,"Community members identified a number of barriers, including lack of access to smartphones, poor Internet access, related financial costs, in sufficient resource requirements, limited support needed to use the technologies and inappropriate or malicious behavior, particularly among tech nologies that utilize support from others.",Agree,Disagree,Inner setting,Structural characteristics: Work infrastructure,,Inner Setting,Structural Characteristics,,SE didn't have sub-construct,Inner setting,Structural characteristics: Work infrastructure
1,User Experience and Technology Evaluation,Learnings from Heuristic Evaluation and User Evaluation,Community members also revealed barriers to adoption and continued use of mental health technologies,Some participants were concerned about the privacy and confidentiality of their data while using the technologies.,Agree,Agree,Individuals,Innovation recipients,,Individuals,Innovation Recipients,,,Individuals,Innovation recipients
1,User Experience and Technology Evaluation,Learnings from Heuristic Evaluation and User Evaluation,Community members also revealed barriers to adoption and continued use of mental health technologies,"Many of these concerns can be addressed with thorough vetting of technologies, strong alignment between target audience needs and technology capabilities, and digital literacy training.",Agree,Agree,Implementation process,Planning,,IMplementation Process,Planning,,,Implementation process,Planning
1,User Experience and Technology Evaluation,Learnings from Heuristic Evaluation and User Evaluation,Community members also revealed barriers to adoption and continued use of mental health technologies,"Many of these concerns can be addressed with thorough vetting of technologies, strong alignment between target audience needs and technology capabilities, and digital literacy training.",Agree,Agree,Implementation process,Assessing needs: Innovation recipients,,IMplementation Process,Assessing Needs: Innovation Recipients,,,Implementation process,Assessing needs: Innovation recipients
1,User Experience and Technology Evaluation,Learnings from Heuristic Evaluation and User Evaluation,Community members also revealed barriers to adoption and continued use of mental health technologies,"Many of these concerns can be addressed with thorough vetting of technologies, strong alignment between target audience needs and technology capabilities, and digital literacy training.",Agree,Agree,Implementation process,Tailoring strategies,,IMplementation Process,Tailoring Strategies,,,Implementation process,Tailoring strategies
1,User Experience and Technology Evaluation,Learnings from Heuristic Evaluation and User Evaluation,Addressing usability concerns will be critical for encouraging the adoption and continued use of these technologies.,"Community members who used Mindstrong highly appreciated the personalized feedback they received and that care could be provided on de mand. They were unsure, however, on how to interpret, reflect, and act on biomarker data. Thus, if apps provide personal data (whether manually or automatically tracked), then users need to be able to interpret, reflect on, and act on that data for it to be useful.",Agree,Agree,Innovation,Complexity,,Innovation,Complexity,,,Innovation,Complexity
1,User Experience and Technology Evaluation,Learnings from Heuristic Evaluation and User Evaluation,Addressing usability concerns will be critical for encouraging the adoption and continued use of these technologies.,"Trained evaluators identified a number of concerns related to the usability of both Mindstrong and 7Cups. Future Help@Hand technologies, therefore, should ensure that apps or websites do not have too much content which may overwhelm users and make the technology difficult to navi gate. Further, Help@Hand technologies should clearly explain what data is being collected, how it is used, and who has access, as well as include easy access to help information and documentation.",Agree,Disagree,Innovation,Design,,Innovation,Complexity,,WIll had design,Innovation,Complexity
1,User Experience and Technology Evaluation,Learnings from Heuristic Evaluation and User Evaluation,Addressing usability concerns will be critical for encouraging the adoption and continued use of these technologies.,"Trained evaluators identified a number of concerns related to the usability of both Mindstrong and 7Cups. Future Help@Hand technologies, therefore, should ensure that apps or websites do not have too much content which may overwhelm users and make the technology difficult to navi gate. Further, Help@Hand technologies should clearly explain what data is being collected, how it is used, and who has access, as well as include easy access to help information and documentation.",Agree,Disagree,Implementation process,Engaging: Innovation recipients,,Implementation Process,Doing,,SE had doing,Implementation process,Engaging: Innovation recipients
1,System Evaluation,Key Points,,"Marketplace data analysis showed that uptake and sustained use of certain apps were actually quite low, indicating the importance of active approaches by the Collaborative to enhance retention.",Disagree,Disagree,Individuals,Innovation recipients,I thought this was more about whether individuals used the apps as opposed to the apps themselves...,Implementation Process,Engaging: INnovation Recipients,,Will had Individuals	Innovation recipients,Implementation process,Engaging: Innovation recipients
1,System Evaluation,Key Points,,"Availability of marketplace data was not consistent. Thus, detailed data provided directly from the app developer would be crucial to measuring the performance of Help@Hand apps.",Agree,Agree,Outer setting,Local conditions,,Outer Setting,Local Conditions,,,Outer setting,Local conditions
1,System Evaluation,Key Points,,"The collaborative process evaluation was fully developed as a mixed methods assessment (an interview and survey) to understand the factors that facilitate and impede the implementation and sustainability of Help@Hand from the perspectives of the MHSOAC, CalMHSA, County Leaders, and Vendors.",Agree,Agree,Implementation process,Reflecting and evaluating: Implementation,,Implementation Process,Reflecting and Evaluating: Implementation,,,Implementation process,Reflecting and evaluating: Implementation
2,System Evaluation,Key Points,,"User experience of apps reviewed in the market surveillance suggest that many mental health apps offer interesting, engaging, and easy to use support. However, limited accessibility features (e.g. languages, assistive technologies, and internet require ments) indicate that not everyone can get on demand support from these apps and may face barriers beyond ease of use.",Agree,Agree,Innovation,Adaptability,,Innovation,Adaptability,,,Innovation,Adaptability
2,System Evaluation,Key Points,,"User experience, downloads, and engagement were higher for chatbot apps than for meditation or peer support apps. This may mean that people are more likely to download and use apps with better user experiences.",Disagree,Disagree,Individuals,Innovation recipients,I thought this was more about whether individuals used the apps as opposed to the apps themselves...,Innovation,Relative Advantage,,,,
2,System Evaluation,Key Points,,"Digital phenotyping, an approved component of Help@Hand technologies, is not a widely available feature in publicly available mental health apps. Many digital phenotyping apps are still in the research and development phase.",Disagree,Disagree,Outer setting,Local conditions,,Innovation,Design,,Will had outer setting,Innovation,Design
2,System Evaluation,Key Points,,Apps identified through Help@Hand’s most recent Request for Statement of Qualification (RFSQ) tended to underperform in the marketplace in terms of number of downloads and number of monthly active users.,Agree,Agree,,,,,,,,,
3,System Evaluation,Key Points,,"The system evaluation has been paused as of June 2021. This section sumarizes the information that was presented in the Year 3, Quarter 1 2 Help@Hand Evaluation Report. Please refer to this report for more details.",Agree,Agree,,,,,,,,,
3,System Evaluation,Learnings for the Help@Hand Collaborative,Cross County and City Lessons Learned Evaluation,Needs assessments and stakeholder input are important when planning to implement a technology because they provide insight on which technologies would be most beneficial to the community.,Agree,Agree,Implementation process,Assessing needs: Innovation recipients,,Implementation Process,Assessing Needs: Innovation Recipients,,,Implementation process,Assessing needs: Innovation recipients
3,System Evaluation,Learnings for the Help@Hand Collaborative,Cross County and City Lessons Learned Evaluation,Successful technology pilots and implementations should recognize cultural differences and consider the specific needs of target populations.,Agree,Agree,Implementation process,Assessing needs: Innovation recipients,,Implementation Process,Assessing Needs: Innovation Recipients,,,Implementation process,Assessing needs: Innovation recipients
3,System Evaluation,Learnings for the Help@Hand Collaborative,Cross County and City Lessons Learned Evaluation,Low levels of digital literacy remain a barrier for consumers adopting apps.,Disagree,Disagree,Individuals,Innovation recipients,,Implementation Process,Assessing Context,,SE had Implementation Process	Assessing Context,Individuals,Innovation recipients
3,System Evaluation,Learnings for the Help@Hand Collaborative,Cross County and City Lessons Learned Evaluation,"An essential component for project management was streamlining processes during planning, executing, and monitoring technology launches.",Agree,Agree,Implementation process,Planning,,Implementation Process,PLanning,,,Implementation process,Planning
1,System Evaluation,Market Surveillance,A lot of variability exists in the app marketplace.,Few apps had identical patterns of features and the functionality of mental health apps varies signifi cantly.,Agree,Agree,Innovation,Design,,Innovation,Design,,,Innovation,Design
1,System Evaluation,Market Surveillance,A lot of variability exists in the app marketplace.,"Although two apps looked similar at face value (e.g. “mindfulness apps”), the patterns of features they contained and how they functioned were likely to differ.",Agree,Agree,Innovation,Design,,Innovation,Design,,,Innovation,Design
1,System Evaluation,Market Surveillance,A lot of variability exists in the app marketplace.,There were wide ranges of downloads and active us ers among the apps that were examined.,Agree,Agree,,,,,,,,,
1,System Evaluation,Market Surveillance,Apps changed over a relatively short period of time.,"Review of comparator apps at different levels and time points (app description reviews, full feature reviews, user experience reviews, etc.) highlighted that apps were updated frequently. On average, some apps update as often as every 18 days.",Agree,Agree,Innovation,Complexity,,Innovation,Complexity,,,Innovation,Complexity
1,System Evaluation,Market Surveillance,Apps changed over a relatively short period of time.,"Updates may have impacted user experience (i.e., added or removed features) and accessibility (i.e., changes in pricing).",Agree,Agree,Innovation,Design,,Innovation,Design,,,Innovation,Design
1,System Evaluation,Market Surveillance,Apps changed over a relatively short period of time.,"Updates also resulted in significant branding changes over this past year (Pacifica relaunched as Sanvello, and Reachout as We Are More).",Agree,Agree,Innovation,Design,,Innovation,Design,,,Innovation,Design
1,System Evaluation,Market Surveillance,Digital phenotyping apps were not widely available for the public.,"The original procurement process for Help@Hand was designed to select apps employing digital pheno typing technology. The evaluation team did not identify any apps (other than Mindstrong) with a digital phenotyping component. This may have been in part due to the methodology, which will be modified for the next cycle.",Agree,Agree,,,,,,,,,
1,System Evaluation,Market Surveillance,Digital phenotyping apps were not widely available for the public.,"Digital phenotyping technology was in a relatively early development stage, as such these technologies may continue to change considerably, especially over the life of Help@Hand.",Agree,Agree,Innovation,Design,,Innovation,Design,,,Innovation,Design
1,System Evaluation,Market Surveillance,Obtaining usage data will be key to measuring the success of Help@Hand apps.,"The availability of app analytics data was determined by each app store; as noted above, data are only available for apps ranking with the top ~1500 for iOS and top ~650 for Android per app store category.",Disagree,Disagree,Outer setting,Local conditions,,Innovation,Trialability???,,SE had Innovation	Trialability???,Outer setting,Local conditions
1,System Evaluation,Market Surveillance,Obtaining usage data will be key to measuring the success of Help@Hand apps.,"There was a lack of transparency from app stores on what the metric of “rank” meant. Stores used a combination of data on downloads, active use, retention, install and uninstall activity, and positive and negative user reviews to rank apps, but the exact algorithm was not publicly available.",Agree,Disagree,Outer setting,Local conditions,,Outer Setting,Performance-Measurement Pressure,,SE had Performance-Measurement Pressure,Outer setting,Local conditions
1,System Evaluation,Market Surveillance,Obtaining usage data will be key to measuring the success of Help@Hand apps.,Detailed data provided directly from the app developer yielded more consistently available data points to help Counties understand product performance. This data will also allow Counties to determine the real world engagement and effectiveness of the apps and help achieve learning objectives.,Disagree,Disagree,Implementation process,Reflecting and evaluating: Innovation,,Implemenation Process,Reflecting and Evaluating,,SE missing sub-construct,Implementation process,Reflecting and evaluating: Innovation
1,System Evaluation,Market Surveillance,Only a small number of users used apps after the day of download.,"As shown by retention data, uptake and sustained use of these apps was quite low. This indicates that active approaches by the Collaborative to enhance uptake and retention will therefore be critical.",Disagree,Disagree,Individuals,Innovation recipients,,Implemenation Process,Engaging: INnovation Recipients,,Will had Individuals	Innovation recipients,Implemenation Process,Engaging: INnovation Recipients
